"filename", "language", "Haskell", "vcd", "YAML", "Graphviz (DOT)", "XML", "JSON", "VHDL", "Xilinx Design Constraints", "Python", "Verilog", "C++", "Cabal", "Markdown", "Shell Script", "comment", "blank", "total"
"d:\git\clash-moisc\Clash\ClashProject\src\StandardEntities\Mem.hs", "Haskell", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 62
"d:\git\clash-moisc\Clash\ClashProject\src\StandardEntities\Registers.hs", "Haskell", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 61
"d:\git\clash-moisc\Clash\ClashProject\stack.yaml", "YAML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\git\clash-moisc\Clash\ClashProject\stack.yaml.lock", "YAML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 76
"d:\git\clash-moisc\Clash\ClashProject\tests\Tests\Example\Project.hs", "Haskell", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"d:\git\clash-moisc\Clash\ClashProject\tests\doctests.hs", "Haskell", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\git\clash-moisc\Clash\ClashProject\tests\unittests.hs", "Haskell", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\git\clash-moisc\Clash\ClashProject\verilog\Lib.IoBuffer.topEntityComparisonIoBuffer\IoBuffer.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\verilog\Lib.IoBuffer.topEntityComparisonIoBuffer\IoBuffer.v", "Verilog", 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 85, 99, 421
"d:\git\clash-moisc\Clash\ClashProject\verilog\Lib.IoBuffer.topEntityComparisonIoBuffer\IoBuffer_shim.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 23
"d:\git\clash-moisc\Clash\ClashProject\verilog\Lib.IoBuffer.topEntityComparisonIoBuffer\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112
"d:\git\clash-moisc\Clash\ClashProject\verilog\Lib.IoBuffer.topEntityComparisonIoBuffer\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 15, 7, 72
"d:\git\clash-moisc\Clash\ClashProject\verilog\Main.topEntity\DramTest.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\verilog\Main.topEntity\DramTest.v", "Verilog", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 17, 21, 100
"d:\git\clash-moisc\Clash\ClashProject\verilog\Main.topEntity\DramTest_shim.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 23
"d:\git\clash-moisc\Clash\ClashProject\verilog\Main.topEntity\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102
"d:\git\clash-moisc\Clash\ClashProject\verilog\Main.topEntity\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 7, 77
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntitiyComparisonAlu\ALU.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
